EUW1_6699982100,EUW1_6698775920,EUW1_6695960909,EUW1_6691426185,EUW1_6691382914,EUW1_6691247754,EUW1_6690759008,EUW1_6684862294,EUW1_6376027422,EUW1_6375989919,EUW1_6374965430,EUW1_6374914752,EUW1_6367194171,EUW1_6366068008,EUW1_6277283040,EUW1_6259797663,EUW1_6249258545,EUW1_6140127749,EUW1_6128245196,EUW1_6127757072,EUW1_6126060863,EUW1_6107870232,EUW1_6095464995,EUW1_5976612207,EUW1_5931018705,EUW1_5920825695,EUW1_5918498100,EUW1_5916701891,EUW1_5909435955,EUW1_5907951467,EUW1_5906286776,EUW1_5906232011,EUW1_5905979448,EUW1_5905565585,EUW1_5905560665,EUW1_5905045093,EUW1_5903899774,EUW1_5851370815,EUW1_5850745951,EUW1_5839935784,EUW1_5830566905,EUW1_5829695549,EUW1_5826600155,EUW1_5820974610,EUW1_5820972335,EUW1_5820287316,EUW1_5811343926,EUW1_5808053923,EUW1_5806124329,EUW1_5763412956
EUW1_6702094487,EUW1_6700689349,EUW1_6699517347,EUW1_6699282681,EUW1_6698549003,EUW1_6698066063,EUW1_6696852017,EUW1_6695677526,EUW1_6694624845,EUW1_6692621593,EUW1_6692607603,EUW1_6691024831,EUW1_6689671712,EUW1_6689558544,EUW1_6689354644,EUW1_6686732546,EUW1_6682055074,EUW1_6675624130,EUW1_6674239305,EUW1_6674238999,EUW1_6674215861,EUW1_6674198649,EUW1_6672793540,EUW1_6672772740,EUW1_6671217894,EUW1_6670179221,EUW1_6670150224,EUW1_6669965702,EUW1_6669933161,EUW1_6669903416,EUW1_6660402633,EUW1_6655006095,EUW1_6649713668,EUW1_6647283145,EUW1_6641050156,EUW1_6638260706,EUW1_6631151230,EUW1_6628364256,EUW1_6628335500,EUW1_6627117600,EUW1_6625788998,EUW1_6624661274,EUW1_6624644751,EUW1_6624632743,EUW1_6620595635,EUW1_6615757952,EUW1_6615740729,EUW1_6615696256,EUW1_6614327247,EUW1_6614307915
EUW1_6672880001,EUW1_6672862975,EUW1_6659251159,EUW1_6659218175,EUW1_6650230991,EUW1_6650211908,EUW1_6645820460,EUW1_6382400471,EUW1_6323335693,EUW1_5978329750
EUW1_6655779389,EUW1_6655713935,EUW1_6655614271,EUW1_6655549945,EUW1_6655502135
EUW1_6685535473,EUW1_6682512322,EUW1_6681319863,EUW1_6680641833,EUW1_6680607528,EUW1_6680567162
EUW1_6662567566,EUW1_6662475741,EUW1_6662397092,EUW1_6661408245,EUW1_6660091145,EUW1_6655851804,EUW1_6655757622,EUW1_6651306004,EUW1_6651242730,EUW1_6629192390,EUW1_6629148558,EUW1_6629082596,EUW1_6623405139,EUW1_6623371022,EUW1_6623363459,EUW1_6581775042,EUW1_6581715410,EUW1_6575344156,EUW1_6575290139,EUW1_6574114195,EUW1_6574078683,EUW1_6218037787,EUW1_6217964753,EUW1_6214862851,EUW1_6214814724,EUW1_6214757238,EUW1_6214722845,EUW1_6211594640,EUW1_6211525568,EUW1_6202985049,EUW1_6202946240,EUW1_6158401731,EUW1_6158341103,EUW1_6158182519,EUW1_6158104939,EUW1_6158065306,EUW1_6151850457,EUW1_6151770098,EUW1_6140228350,EUW1_6140021228,EUW1_6139980810,EUW1_6139948937,EUW1_6139917612,EUW1_6139439147,EUW1_6139382094,EUW1_6137245437,EUW1_6137192396,EUW1_6137136243,EUW1_6136236087,EUW1_6136144192
EUW1_6704272686,EUW1_6704202681,EUW1_6704126537,EUW1_6679759988,EUW1_6679703425,EUW1_6672187301,EUW1_6672131088,EUW1_6672063400,EUW1_6672008273,EUW1_6671911181,EUW1_6671880978,EUW1_6671772543,EUW1_6671701134,EUW1_6671651167,EUW1_6664462264,EUW1_6664406550,EUW1_6664341815,EUW1_6664260092,EUW1_6664098490,EUW1_6663975112,EUW1_6663913348,EUW1_6662831968,EUW1_6662689343,EUW1_6662526180,EUW1_6662457481,EUW1_6662394507,EUW1_6662199866,EUW1_6662158662,EUW1_6662095316,EUW1_6660590174,EUW1_6660565293,EUW1_6659648868,EUW1_6659453719,EUW1_6659432867,EUW1_6659187392,EUW1_6659159883,EUW1_6659142715,EUW1_6659116435,EUW1_6659102185,EUW1_6659104577,EUW1_6654846614,EUW1_6654395815,EUW1_6654324495,EUW1_6654297278,EUW1_6654206500,EUW1_6653808689,EUW1_6653754234,EUW1_6653707772,EUW1_6653575887,EUW1_6653527580
EUW1_6677506345,EUW1_6677434765,EUW1_6677346687,EUW1_6677266023,EUW1_6677215170,EUW1_6677206692,EUW1_6676191345,EUW1_6676132461,EUW1_6676053490,EUW1_6675990214,EUW1_6675327386,EUW1_6674933667,EUW1_6674873875,EUW1_6674745233,EUW1_6674684095,EUW1_6666920978,EUW1_6666837791,EUW1_6666752385,EUW1_6662939822,EUW1_6662873365,EUW1_6662818767,EUW1_6662762703,EUW1_6662689324,EUW1_6660685916,EUW1_6660651362,EUW1_6659897059,EUW1_6649281564,EUW1_6649217736,EUW1_6649190964,EUW1_6647775785,EUW1_6646354574,EUW1_6644970077,EUW1_6587496908,EUW1_6587458657,EUW1_6570134784,EUW1_6568255156,EUW1_6568212882,EUW1_6553041330,EUW1_6499367663,EUW1_6499308694,EUW1_6496596223,EUW1_6496544716,EUW1_6332493780,EUW1_6332456584,EUW1_6330491739,EUW1_6330207850,EUW1_6320484063,EUW1_6311416105,EUW1_6310080424,EUW1_6306098623
EUW1_6646666732,EUW1_6645506904,EUW1_6644137448,EUW1_6644073704,EUW1_6643980924,EUW1_6643878788,EUW1_6643630901,EUW1_6553027305,EUW1_6552936208,EUW1_6552150875,EUW1_6552127220,EUW1_6528549974,EUW1_6528462539,EUW1_6528155309,EUW1_6528090632,EUW1_6340680250,EUW1_6340569365,EUW1_6339272207,EUW1_6335008400,EUW1_6330145044,EUW1_6328767512,EUW1_6328740014,EUW1_6327138775,EUW1_6322963740,EUW1_6321348396,EUW1_6319945707,EUW1_6318543303,EUW1_6318473751,EUW1_6085573212,EUW1_6085447215,EUW1_6084384300,EUW1_6084265620,EUW1_6084196268,EUW1_6083486218,EUW1_6083503003,EUW1_6083429700,EUW1_6083398066,EUW1_6083048090,EUW1_6082889885,EUW1_6082803802,EUW1_6081460502,EUW1_6081483862,EUW1_6081308979,EUW1_6081280777,EUW1_6080193717,EUW1_6080097430,EUW1_6080000090,EUW1_6079567157,EUW1_6077662282,EUW1_6077677168
EUW1_6619690573,EUW1_6619579080,EUW1_6614346138,EUW1_6610609408,EUW1_6610126144,EUW1_6610054558,EUW1_6609994750,EUW1_6609433272,EUW1_6609396352,EUW1_6351637522,EUW1_6351386632,EUW1_6350345176,EUW1_6349855696,EUW1_6348896440,EUW1_6338373815,EUW1_6338290207,EUW1_6338273077,EUW1_6336839276,EUW1_6336783114,EUW1_6336769687,EUW1_6331461844,EUW1_6331391005,EUW1_6331307244,EUW1_6331231168,EUW1_6330895999,EUW1_6330854165,EUW1_6330701914,EUW1_5362089228,EUW1_5354773290,EUW1_5351896288
